Country Name,Country Code,Indicator Name,Indicator Code,Valor_Inicial,Ano_Inicial,Valor_Final,Ano_Final,Crescimento_Absoluto,Crescimento_Percentual
Uruguay,URY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.47907996177673,1990.0,4.35693979263306,2017.0,1.8778598308563303,75.74825579690008
Uruguay,URY,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,108.570533752441,1990.0,108.554718017578,2017.0,-0.015815734862997033,-0.014567244275559662
Uruguay,URY,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,81.2108917236328,1990.0,95.0718612670898,2017.0,13.860969543457003,17.06787014557973
Uruguay,URY,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,94.4789199829102,1990.0,103.276878356934,2017.0,8.797958374023807,9.312086098798785
Uruguay,URY,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,15827.0,1990.0,28060.0,2017.0,12233.0,77.29196941934669
Uzbekistan,UZB,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,,,,,,
Uzbekistan,UZB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,
Uzbekistan,UZB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,110.218719482422,1990.0,104.397750854492,2017.0,-5.82096862793,-5.281288564469619
Uzbekistan,UZB,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,101.306686401367,1990.0,95.923942565918,2017.0,-5.382743835449006,-5.313315464808621
Uzbekistan,UZB,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,97.6949768066406,1990.0,98.9463729858398,2017.0,1.2513961791992045,1.2809217219796132
Uzbekistan,UZB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,71000.0,1990.0,110677.0,2017.0,39677.0,55.8830985915493
Vanuatu,VUT,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,57.8520584106445,1990.0,41.2950782775879,2017.0,-16.556980133056605,-28.619517762932702
Vanuatu,VUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.38802003860474,1990.0,5.54987001419067,2017.0,1.1618499755859304,26.47777278508883
Vanuatu,VUT,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,97.2035675048828,1990.0,119.705497741699,2017.0,22.501930236816207,23.14928434667367
Vanuatu,VUT,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,17.7400894165039,1990.0,54.8158416748047,2017.0,37.0757522583008,208.99416788626
Vanuatu,VUT,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,83.6972274780273,1990.0,93.770263671875,2017.0,10.073036193847699,12.035089449638141
Vanuatu,VUT,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,869.0,1990.0,1729.0,2017.0,860.0,98.96432681242808
"Venezuela, RB",VEN,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,20.7416591644287,1990.0,31.5452003479004,2017.0,10.803541183471701,52.08619569836264
"Venezuela, RB",VEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.52840995788574,1990.0,6.87723016738892,2017.0,4.348820209503179,171.99822346608968
"Venezuela, RB",VEN,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,105.852500915527,1990.0,99.9998321533203,2017.0,-5.852668762206704,-5.529079343035346
"Venezuela, RB",VEN,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,55.4966201782227,1990.0,89.6640090942383,2017.0,34.1673889160156,61.566612176182836
"Venezuela, RB",VEN,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,78.9554901123047,1990.0,95.2281265258789,2017.0,16.272636413574205,20.609885886881756
"Venezuela, RB",VEN,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,,,,,,
Vietnam,VNM,Expenditure on primary as % of government expenditure on education (%),SE.XPD.PRIM.ZS,29.3825702667236,1990.0,29.6892700195313,2017.0,0.3066997528076989,1.0438152619855827
Vietnam,VNM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.87481021881104,1990.0,5.65873003005981,2017.0,0.7839198112487704,16.08103241073388
Vietnam,VNM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,104.561180114746,1990.0,108.876678466797,2017.0,4.315498352051009,4.1272471746351345
Vietnam,VNM,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,34.8162689208984,1990.0,57.838020324707,2017.0,23.0217514038086,66.12354544972462
